source,target,value
MATH 150,ACMA 101,0.25
MATH 151,ACMA 101,0.25
MATH 154,ACMA 101,0.25
MATH 157,ACMA 101,0.25
MATH 152,ACMA 201,0.5
MATH 155,ACMA 201,0.25
MATH 158,ACMA 201,0.25
HS BC Mathematics 12,ACMA 231,0.5
ACMA 201,ACMA 301,0.5
ACMA 210,ACMA 301,0.5
STAT 285,ACMA 301,1
ACMA 101,ACMA 321,1
STAT 330,ACMA 321,1
ACMA 231,ACMA 321,1
ACMA 336,ACMA 337,0.5
ACMA 201,ACMA 340,0.5
ACMA 210,ACMA 340,0.5
STAT 285,ACMA 340,1
ACMA 301,ACMA 360W,0.5
ACMA 320,ACMA 360W,0.5
ACMA 301,ACMA 401,0.5
ACMA 320,ACMA 401,0.5
ACMA 321,ACMA 421,1
STAT 350,ACMA 421,1
ACMA 337,ACMA 436,0.5
ACMA 436,ACMA 437,0.5
ACMA 437,ACMA 438,0.5
ACMA 355,ACMA 455,1
ARCH 101,ARCH 271,0.5
ARCH 201,ARCH 271,0.5
ARCH 100,ARCH 272W,0.33
ARCH 101,ARCH 272W,0.33
ARCH 201,ARCH 272W,0.33
ARCH 100,ARCH 273,0.2
ARCH 101,ARCH 273,0.2
EVSC 100,ARCH 273,0.2
GEOG 100,ARCH 273,0.2
REM 100,ARCH 273,0.2
ARCH 101,ARCH 282,0.5
ARCH 201,ARCH 282,0.5
ARCH 100,ARCH 286,0.17
ARCH 101,ARCH 286,0.17
ARCH 201,ARCH 286,0.17
EVSC 100,ARCH 286,0.17
GEOG 100,ARCH 286,0.17
REM 100,ARCH 286,0.17
ARCH 100,ARCH 312,0.11
ARCH 101,ARCH 312,0.11
ARCH 201,ARCH 312,0.11
HS 100,ARCH 312,0.11
HS 231,ARCH 312,0.11
HS 232,ARCH 312,0.11
HS 277,ARCH 312,0.11
HIST 277,ARCH 312,0.11
ARCH 100,ARCH 313,0.14
ARCH 201,ARCH 313,0.14
HS 100,ARCH 313,0.14
HS 231,ARCH 313,0.14
HS 232,ARCH 313,0.14
HS/HIST 277,ARCH 313,0.14
ARCH 272W,ARCH 321,0.17
ARCH 273,ARCH 321,0.17
ARCH 131,ARCH 322,1
ARCH 131,ARCH 323,0.5
ARCH 101,ARCH 329,0.5
ARCH 201,ARCH 329,0.5
ARCH 101,ARCH 340,0.5
ARCH 201,ARCH 340,0.5
ARCH 131,ARCH 344,0.5
ARCH 101,ARCH 349,0.5
ARCH 201,ARCH 349,0.5
ARCH 350,ARCH 351,1
ARCH 100,ARCH 363,0.33
ARCH 101,ARCH 363,0.33
ARCH 201,ARCH 363,0.33
ARCH 101,ARCH 365,0.5
ARCH 201,ARCH 365,0.5
ARCH 100,ARCH 365,0.5
REM 100,ARCH 365,0.5
GEOG 100,ARCH 365,0.5
EVSC 100,ARCH 365,0.5
ARCH 101,ARCH 374,0.5
ARCH 201,ARCH 374,0.5
ARCH 131,ARCH 373,0.5
ARCH 101,ARCH 376,0.5
ARCH 201,ARCH 376,0.5
ARCH 285,ARCH 376,0.14
GEOG 251,ARCH 376,0.14
PSYC 210,ARCH 376,0.14
STAT 101,ARCH 376,0.14
STAT 201,ARCH 376,0.14
STAT 203,ARCH 376,0.14
STAT 205,ARCH 376,0.14
ARCH 273,ARCH 378,1
ARCH 282,ARCH 382,0.5
ARCH 372,ARCH 382,0.5
ARCH 101,ARCH 386,0.5
ARCH 201,ARCH 386,0.5
ARCH 282,ARCH 434,0.5
ARCH 372,ARCH 434,0.5
ARCH 282,ARCH 435,0.5
ARCH 372,ARCH 435,0.5
ARCH 373,ARCH 436,1
ARCH 282,ARCH 433,0.5
ARCH 372,ARCH 433,0.5
ARCH 351,ARCH 450,1
ARCH 450,ARCH 451,1
ARCH 101,ARCH 471W,1
ARCH 131,ARCH 471W,1
ARCH 201,ARCH 471W,1
ARCH 272W,ARCH 471W,1
ARCH 273,ARCH 471W,1
ARCH 282,ARCH 479,0.5
ARCH 372,ARCH 479,0.5
ARCH 282,ARCH 480,0.5
ARCH 372,ARCH 480,0.5
ARCH 383,ARCH 483,0.5
HS Biology 12,BISC 101,0.2
BISC 100,BISC 101,0.2
BISC 113,BISC 101,0.2
BPK 105,BISC 101,0.2
HSCI 100,BISC 101,0.2
HS Chemistry 12,BISC 101,0.5
CHEM 111,BISC 101,0.5
BISC 101,BISC 202,1
BISC 102,BISC 202,1
BISC 101,BISC 204,1
BISC 102,BISC 204,1
BISC 101,BISC 205,1
BISC 102,BISC 205,1
PHYS 101,BISC 205,1
BISC 202,BISC 300,1
BISC 202,BISC 302W,1
MBB 222,BISC 302W,1
BISC 102,BISC 303,1
MBB 222,BISC 303,1
MBB 231,BISC 303,1
BISC 205,BISC 305,0.5
BPK 205,BISC 305,0.5
MBB 231,BISC 305,1
BISC 101,BISC 306,1
BISC 102,BISC 306,1
BISC 204,BISC 306,0.5
GEOG 215,BISC 306,0.5
BISC 101,BISC 308,1
BISC 102,BISC 308,1
BISC 204,BISC 308,0.5
GEOG 215,BISC 308,0.5
BISC 204,BISC 309,1
BISC 101,BISC 313,1
BISC 204,BISC 313,0.25
BISC 205,BISC 313,0.25
GEOG 215,BISC 313,0.25
MBB 231,BISC 313,0.25
BISC 101,BISC 316,1
BISC 102,BISC 316,1
BISC 101,BISC 317,1
BISC 102,BISC 317,1
BISC 101,BISC 318,1
BISC 102,BISC 318,1
BISC 204,BISC 318,0.5
HSCI 212,BISC 318,0.5
BISC 101,BISC 327,1
BISC 102,BISC 327,1
BISC 101,BISC 328,1
BISC 102,BISC 328,1
BISC 202,BISC 333,1
MBB 222,BISC 333,1
MBB 231,BISC 333,1
BISC 101,BISC 337,1
BISC 102,BISC 337,1
BISC 341,BISC 342,1
BISC 202,BISC 357,1
MBB 222,BISC 357,1
MBB 231,BISC 357,1
BISC 202,BISC 360W,1
BISC 204,BISC 360W,0.5
GEOG 215,BISC 360W,0.5
STAT 201,BISC 360W,1
BISC 205,BISC 366,1
MBB 231,BISC 366,1
BISC 205,BISC 405,0.25
MBB 231,BISC 405,0.25
BPK 205,BISC 405,0.25
BPK 306,BISC 405,0.25
HSCI 321,BISC 405,0.25
BISC 306,BISC 406,0.5
BISC 316,BISC 406,0.5
BISC 102,BISC 407,1
BISC 204,BISC 407,0.5
GEOG 215,BISC 407,0.5
MATH 154,BISC 407,1
BISC 101,BISC 412,1
