id,title,group,size,depth
ACMA 101,Introduction to Insurance,ACMA,1.8,1
MATH 150,Calculus I with Review,MATH,3,1
MATH 151,Calculus I,MATH,3,1
MATH 154,Mathematics for the Life Sciences I,MATH,3,1
MATH 157,Calculus I for the Social Sciences,MATH,2.8,1
ACMA 201,Interest Theory and Applications,ACMA,1.8,1
MATH 152,Calculus II,MATH,2.8,1
MATH 155,Mathematics for the Life Sciences II,MATH,2.6,1
MATH 158,Calculus II for the Social Sciences,MATH,2.4,2
ACMA 231,Tools for Data-Driven Decision Making,ACMA,1.6,1
HS BC Mathematics 12,HS BC Mathematics 12,HS,1.6,0
ACMA 301,Long-Term Actuarial Mathematics I,ACMA,1.8,1
ACMA 210,ACMA 210,ACMA,1.6,0
STAT 285,Intermediate Probability and Statistics,STAT,2.2,2
ACMA 321,Fundamentals of Short-Term Insurance,ACMA,1.4,2
STAT 330,Introduction to Mathematical Statistics,STAT,2,3
ACMA 337,Job Practicum II,ACMA,1.6,1
ACMA 336,ACMA 336,ACMA,1.6,0
ACMA 340,Financial Economics for Actuaries,ACMA,1.4,1
ACMA 360W,Actuarial Communication,ACMA,1,1
ACMA 320,ACMA 320,ACMA,1.6,0
ACMA 401,Long-Term Actuarial Mathematics II,ACMA,1,1
ACMA 421,Advanced Models for Short-Term Insurance,ACMA,1,3
STAT 350,Linear Models in Applied Statistics,STAT,2.6,3
ACMA 436,Job Practicum III,ACMA,1.6,2
ACMA 437,Job Practicum IV,ACMA,1.6,3
ACMA 438,Job Practicum V,ACMA,1,4
ACMA 455,Loss Models II,ACMA,1,1
ACMA 355,ACMA 355,ACMA,1.4,0
ARCH 101,Reconstructing the Human Past,ARCH,2.8,0
ARCH 271,Interpreting the Past: An Introduction to Archaeological Theory,ARCH,1,1
ARCH 201,ARCH 201,ARCH,2.8,0
ARCH 272W,Archaeology of the Old World,ARCH,1.8,1
ARCH 100,ARCH 100,ARCH,2.4,0
ARCH 273,Archaeology of the New World,ARCH,2,1
EVSC 100,Introduction to Environmental Science,EVSC,2.6,0
GEOG 100,GEOG 100,GEOG,3,0
REM 100,REM 100,REM,2.6,0
ARCH 282,Material Culture Analysis,ARCH,2.2,1
ARCH 285,Archaeological Science,ARCH,1.4,0
ARCH 286,Cultural Heritage Management,ARCH,1.4,1
ARCH 312,Greek Art and Archaeology,ARCH,1,1
HS 100,HS 100,HS,1.6,0
HS 231,HS 231,HS,1.6,0
HS 232,HS 232,HS,1.6,0
HS 277,HS 277,HS,1.4,0
HIST 277,HIST 277,HIST,1.4,0
ARCH 313,Roman Art and Archaeology,ARCH,1,1
HS/HIST 277,HS/HIST 277,HS/HIST,1.4,0
ARCH 321,Special Topics: Select Regions in World Archaeology I,ARCH,1,2
ARCH 322,Special Topics in Biological Anthropology I,ARCH,1,1
ARCH 131,ARCH 131,ARCH,2,0
ARCH 323,Special Topics in Biological Anthropology II,ARCH,1,1
ARCH 329,Special Topics in Environmental Archaeology,ARCH,1,1
ARCH 340,Zooarchaeology,ARCH,1,1
ARCH 344,Primate Behaviour,ARCH,1,1
ARCH 349,Management of Archaeological Collections,ARCH,1,1
ARCH 350,Practicum I,ARCH,1.6,0
ARCH 351,Practicum II,ARCH,1.6,1
ARCH 363,Landscape Archaeology,ARCH,1,1
ARCH 365,Archaeological Perspectives on Human Ecology,ARCH,1,1
ARCH 374,Research Design in Archaeology,ARCH,1,1
ARCH 373,Human Osteology,ARCH,1.6,1
ARCH 376,Quantitative Methods in Archaeology,ARCH,1,1
GEOG 251,GEOG 251,GEOG,2.4,0
PSYC 210,PSYC 210,PSYC,2.2,0
STAT 101,STAT 101,STAT,1.4,0
STAT 201,STAT 201,STAT,2.8,0
STAT 203,STAT 203,STAT,2.8,0
